Gmt time,Open,High,Low,Close,Volume
20.02.2019 22:00:00.000,1.13359,1.13663,1.13202,1.13333,443593.7802
21.02.2019 22:00:00.000,1.13323,1.13556,1.13161,1.13319,393106.23260000005
22.02.2019 22:00:00.000,1.13319,1.13319,1.13319,1.13319,0
23.02.2019 22:00:00.000,1.13319,1.13319,1.13319,1.13319,0
24.02.2019 22:00:00.000,1.13340,1.13675,1.13281,1.13568,370315.67029999994
25.02.2019 22:00:00.000,1.13570,1.14027,1.13450,1.13888,417727.3134
26.02.2019 22:00:00.000,1.13887,1.14036,1.13622,1.13693,422680.3583
27.02.2019 22:00:00.000,1.13691,1.14197,1.13595,1.13704,459223.3102
28.02.2019 22:00:00.000,1.13706,1.14085,1.13533,1.13633,413036.85990000004
01.03.2019 22:00:00.000,1.13633,1.13633,1.13633,1.13633,0
02.03.2019 22:00:00.000,1.13633,1.13633,1.13633,1.13633,0
03.03.2019 22:00:00.000,1.13811,1.13826,1.13090,1.13394,408082.59630000003
04.03.2019 22:00:00.000,1.13394,1.13408,1.12895,1.13073,394223.5472999999
05.03.2019 22:00:00.000,1.13072,1.13245,1.12855,1.13061,326397.968
06.03.2019 22:00:00.000,1.13059,1.13202,1.11764,1.11929,390982.3178
07.03.2019 22:00:00.000,1.11929,1.12461,1.11852,1.12311,380182.114
08.03.2019 22:00:00.000,1.12311,1.12311,1.12311,1.12311,0
09.03.2019 22:00:00.000,1.12311,1.12311,1.12311,1.12311,0
10.03.2019 21:00:00.000,1.12316,1.12583,1.12217,1.12440,309137.21530000004
11.03.2019 21:00:00.000,1.12436,1.13049,1.12434,1.12861,335385.00129999995
12.03.2019 21:00:00.000,1.12861,1.13385,1.12773,1.13268,299074.959
13.03.2019 21:00:00.000,1.13255,1.13375,1.12940,1.13034,330546.7996
14.03.2019 21:00:00.000,1.13025,1.13443,1.12976,1.13240,301440.2578
15.03.2019 21:00:00.000,1.13240,1.13240,1.13240,1.13240,0
16.03.2019 21:00:00.000,1.13240,1.13240,1.13240,1.13240,0
